entity	entities
wrong	wrongs
injury	injuries
injustice	injustices
unfairness	unfairnesses
iniquity	iniquities
shabbiness	shabbinesses
infliction	inflictions
transgression	transgressions
evildoing	evildoings
abomination	abominations
evil	evils
immorality	immoralities
wickedness	wickednesses
villainy	villainies
enormity	enormities
irreverence	irreverences
desecration	desecrations
blasphemy	blasphemies
sacrilege	sacrileges
depravity	depravities
turpitude	turpitudes
vice	vices
pornography	pornographies
porno	pornoes
porn	porns
erotica	eroticas
smut	smuts
intemperance	intemperances
intemperateness	intemperatenesses
self-indulgence	self-indulgences
prostitution	prostitutions
harlotry	harlotries
whoredom	whoredoms
profligacy	profligacies
licentiousness	licentiousnesses
looseness	loosenesses
drink	drinks
drinking	drinkings
boozing	boozings
drunkenness	drunkennesses
crapulence	crapulences
jag	jags
dishonesty	dishonesties
knavery	knaveries
treachery	treacheries
betrayal	betrayals
treason	treasons
perfidy	perfidies
double-crossing	double-crossings
sellout	sellouts
charlatanism	charlatanisms
plagiarism	plagiarisms
plagiarization	plagiarizations
plagiarisation	plagiarisations
piracy	piracies
falsehood	falsehoods
misrepresentation	misrepresentations
frame-up	frame-ups
setup	setups
overrefinement	overrefinements
equivocation	equivocations
lying	lyings
prevarication	prevarications
fabrication	fabrications
fibbing	fibbings
paltering	palterings
fakery	fakeries
deceit	deceits
dissembling	dissemblings
dissimulation	dissimulations
indirection	indirections
trickery	trickeries
chicanery	chicaneries
chicane	chicanes
guile	guiles
wile	wiles
duplicity	duplicities
double-dealing	double-dealings
sophistication	sophistications
fraud	frauds
fraudulence	fraudulences
dupery	duperies
hoax	hoaxes
humbug	humbugs
goldbrick	goldbricks
scam	scams
cozenage	cozenages
cheat	cheats
cheating	cheatings
gerrymander	gerrymanders
delusion	delusions
pretense	pretenses
pretence	pretences
pretending	pretendings
simulation	simulations
feigning	feignings
make-believe	make-believes
pretend	pretends
affectation	affectations
mannerism	mannerisms
pose	poses
affectedness	affectednesses
attitude	attitudes
masquerade	masquerades
imposture	impostures
obscurantism	obscurantisms
bluff	bluffs
take-in	takes-in
sin	sins
sinning	sinnings
pride	prides
superbia	superbias
envy	envies
invidia	invidias
avarice	avarices
greed	greeds
covetousness	covetousnesses
rapacity	rapacities
avaritia	avaritias
sloth	sloths
laziness	lazinesses
acedia	acedias
wrath	wraths
anger	angers
ire	ires
ira	iras
gluttony	gluttonies
overeating	overeatings
gula	gulas
lust	lusts
luxuria	luxurias
terror	terrors
terrorism	terrorisms
bioterrorism	bioterrorisms
cyber-terrorism	cyber-terrorisms
cyberwar	cyberwars
ecoterrorism	ecoterrorisms
eco-warfare	eco-warfares
narcoterrorism	narcoterrorisms
theoterrorism	theoterrorisms
terrorization	terrorizations
terrorisation	terrorisations
barratry	barratries
champerty	champerties
crime	crimes
offense	offenses
offence	offences
law-breaking	law-breakings
assault	assaults
battery	batteries
cybercrime	cybercrimes
felony	felonies
forgery	forgeries
hijack	hijacks
highjack	highjacks
misdemeanor	misdemeanors
misdemeanour	misdemeanours
infraction	infractions
infringement	infringements
foul	fouls
technical	technicals
perjury	perjuries
sedition	seditions
perpetration	perpetrations
committal	committals
rape	rapes
ravishment	ravishments
attempt	attempts
mugging	muggings
thuggery	thuggeries
bigamy	bigamies
kidnapping	kidnappings
racket	rackets
racketeering	racketeerings
bribery	briberies
embezzlement	embezzlements
peculation	peculations
defalcation	defalcations
misapplication	misapplications
raid	raids
plunderage	plunderages
bunco	buncoes
bunko	bunkoes
con	cons
gyp	gyps
sting	stings
flimflam	flimflams
pyramiding	pyramidings
swindle	swindles
rig	rigs
holdout	holdouts
swiz	swizs
thimblerig	thimblerigs
larceny	larcenies
theft	thefts
thievery	thieveries
thieving	thievings
stealing	stealings
pilferage	pilferages
shoplifting	shopliftings
shrinkage	shrinkages
robbery	robberies
heist	heists
holdup	holdups
stickup	stickups
biopiracy	biopiracies
dacoity	dacoities
dakoity	dakoities
rip-off	rips-off
highjacking	highjackings
hijacking	hijackings
buccaneering	buccaneerings
petty	petties
extortion	extortions
blackmail	blackmails
protection	protections
tribute	tributes
shakedown	shakedowns
burglary	burglaries
housebreaking	housebreakings
break-in	breaks-in
endeavor	endeavors
endeavour	endeavours
try	tries
bid	bids
offer	offers
essay	essays
foray	forays
contribution	contributions
share	shares
seeking	seekings
stab	stabs
striving	strivings
nisus	nisuss
pains	painss
battle	battles
duel	duels
scuffle	scuffles
buyout	buyouts
takeover	takeovers
test	tests
trial	trials
assay	assays
ELISA	ELISAs
immunohistochemistry	immunohistochemistries
audition	auditions
tryout	tryouts
fitting	fittings
try-on	tries-on
MOT	MOTs
spadework	spadeworks
timework	timeworks
undertaking	undertakings
project	projects
adventure	adventures
baby	babies
enterprise	enterprises
marathon	marathons
no-brainer	no-brainers
proposition	propositions
venture	ventures
speleology	speleologies
spelaeology	spelaeologies
crusade	crusades
consumerism	consumerisms
campaigning	campaignings
candidacy	candidacies
candidature	candidatures
electioneering	electioneerings
hustings	hustingss
feminism	feminisms
war	wars
stumping	stumpings
sally	sallies
self-help	self-helps
risk	risks
peril	perils
danger	dangers
chance	chances
gamble	gambles
doubling	doublings
control	controls
federalization	federalizations
federalisation	federalisations
imperialism	imperialisms
regulation	regulations
regulating	regulatings
deregulation	deregulations
deregulating	deregulatings
indexation	indexations
regularization	regularizations
regularisation	regularisations
timing	timings
coordination	coordinations
synchronization	synchronizations
synchronisation	synchronisations
synchronizing	synchronizings
load-shedding	load-sheddings
proration	prorations
limitation	limitations
restriction	restrictions
hold-down	hold-downs
freeze	freezes
clampdown	clampdowns
hire	hires
ownership	ownerships
retention	retentions
keeping	keepings
holding	holdings
filing	filings
stowage	stowages
stowing	stowings
tankage	tankages
grasping	graspings
seizing	seizings
prehension	prehensions
clasp	clasps
clench	clenches
clutch	clutches
clutches	clutchess
grasp	grasps
grip	grips
hold	holds
nelson	nelsons
hammerlock	hammerlocks
headlock	headlocks
lock	locks
stranglehold	strangleholds
toehold	toeholds
steering	steerings
steerage	steerages
guidance	guidances
direction	directions
aim	aims
astronavigation	astronavigations
shielding	shieldings
guardianship	guardianships
safekeeping	safekeepings
hands	handss
custody	custodies
preservation	preservations
conservation	conservations
conservancy	conservancies
self-preservation	self-preservations
reservation	reservations
embalmment	embalmments
mummification	mummifications
momism	momisms
overprotection	overprotections
overshielding	overshieldings
precaution	precautions
safeguard	safeguards
security	securities
defense	defenses
defence	defences
inoculation	inoculations
vaccination	vaccinations
inoculating	inoculatings
vaccinating	vaccinatings
variolation	variolations
variolization	variolizations
patrol	patrols
self-defense	self-defenses
self-defence	self-defences
self-protection	self-protections
aikido	aikidoes
judo	judoes
jujutsu	jujutsus
jujitsu	jujitsus
jiujitsu	jiujitsus
ninjutsu	ninjutsus
ninjitsu	ninjitsus
karate	karates
taekwondo	taekwondoes
taichi	taichis
taichichuan	taichichuans
insulation	insulations
lining	linings
facing	facings
babbitting	babbittings
locking	lockings
lockup	lockups
escort	escorts
accompaniment	accompaniments
convoy	convoys
grooming	groomings
primping	primpings
toilet	toilets
toilette	toilettes
immunization	immunizations
immunisation	immunisations
sensitizing	sensitizings
sensitising	sensitisings
sensitization	sensitizations
sensitisation	sensitisations
tutelage	tutelages
ruggedization	ruggedizations
ruggedisation	ruggedisations
waterproofing	waterproofings
sealing	sealings
wear	wears
wearing	wearings
respiration	respirations
breathing	breathings
cardiography	cardiographies
electrocardiography	electrocardiographies
echocardiography	echocardiographies
echoencephalography	echoencephalographies
CPR	CPRs
eupnea	eupneas
eupnoea	eupnoeas
hyperpnea	hyperpneas
hypopnea	hypopneas
hyperventilation	hyperventilations
panting	pantings
puffing	puffings
huffing	huffings
snorting	snortings
smoking	smokings
breath	breaths
exhalation	exhalations
expiration	expirations
blow	blows
puff	puffs
insufflation	insufflations
snore	snores
snoring	snorings
stertor	stertors
snuffle	snuffles
sniffle	sniffles
snivel	snivels
wheeze	wheezes
inhalation	inhalations
inspiration	inspirations
aspiration	aspirations
intake	intakes
gasp	gasps
pant	pants
yawn	yawns
yawning	yawnings
oscitance	oscitances
oscitancy	oscitancies
toke	tokes
ingestion	ingestions
uptake	uptakes
eating	eatings
feeding	feedings
chomp	chomps
browse	browses
browsing	browsings
coprophagy	coprophagies
coprophagia	coprophagias
shock	shocks
fart	farts
farting	fartings
flatus	flatuss
swallow	swallows
deglutition	deglutitions
aerophagia	aerophagias
gulp	gulps
swig	swigs
gulping	gulpings
dining	dinings
engorgement	engorgements
feasting	feastings
banqueting	banquetings
geophagy	geophagies
geophagia	geophagias
graze	grazes
lunching	lunchings
munch	munches
repletion	repletions
surfeit	surfeits
supping	suppings
tasting	tastings
savoring	savorings
savouring	savourings
relishing	relishings
degustation	degustations
nibble	nibbles
nip	nips
necrophagia	necrophagias
necrophagy	necrophagies
omophagia	omophagias
scatophagy	scatophagies
sucking	suckings
suck	sucks
suction	suctions
suckling	sucklings
lactation	lactations
imbibing	imbibings
imbibition	imbibitions
swilling	swillings
guzzling	guzzlings
sip	sips
potation	potations
bondage	bondages
outercourse	outercourses
sex	sexes
conception	conceptions
defloration	deflorations
insemination	inseminations
AI	AIs
intercourse	intercourses
copulation	copulations
coitus	coitus 
coition	coitions
congress	congresses
fuck	fucks
fucking	fuckings
screw	screws
screwing	screwings
ass	asses
nooky	nookies
nookie	nookies
shtup	shtups
pleasure	pleasures
lovemaking	lovemakings
love	love
coupling	couplings
mating	matings
adultery	adulteries
fornication	fornications
incest	incests
onanism	onanisms
sodomy	sodomies
buggery	buggeries
reproduction	reproductions
procreation	procreations
breeding	breedings
miscegenation	miscegenations
crossbreeding	crossbreedings
interbreeding	interbreedings
generation	generations
multiplication	multiplications
propagation	propagations
biogenesis	biogeneses
biogeny	biogenies
hybridization	hybridizations
hybridisation	hybridisations
cross	crosses
hybridizing	hybridizings
reciprocal	reciprocals
testcross	testcrosses
test-cross	test-crosses
inbreeding	inbreedings
contraception	contraceptions
rhythm	rhythms
servicing	servicings
foreplay	foreplays
stimulation	stimulations
caressing	caressings
cuddling	cuddlings
fondling	fondlings
hugging	huggings
kissing	kissings
necking	neckings
petting	pettings
smooching	smoochings
snuggling	snugglings
snogging	snoggings
feel	feels
head	heads
cunnilingus	cunnilinguss
cunnilinctus	cunnilinctuss
fellatio	fellatios
fellation	fellations
blowjob	blowjobs
soixante-neuf	soixante-neufs
sixty-nine	sixty-nines
autoeroticism	autoeroticisms
autoerotism	autoerotisms
masturbation	masturbations
self-stimulation	self-stimulations
self-abuse	self-abuses
frottage	frottages
wank	wanks
promiscuity	promiscuities
promiscuousness	promiscuousnesses
lechery	lecheries
homosexuality	homosexualities
homosexualism	homosexualisms
homoeroticism	homoeroticisms
queerness	queernesses
gayness	gaynesses
bisexuality	bisexualities
lesbianism	lesbianisms
sapphism	sapphisms
tribadism	tribadisms
heterosexuality	heterosexualities
heterosexualism	heterosexualisms
straightness	straightnesses
pederasty	pederasties
paederasty	paederasties
bestiality	bestialities
zooerastia	zooerastias
zooerasty	zooerasties
sleeping	sleepings
catnap	catnaps
snooze	snoozes
siesta	siestas
zizz	zizzs
doze	dozes
drowse	drowses
response	responses
automatism	automatisms
overreaction	overreactions
GSR	GSRs
tropism	tropisms
ergotropism	ergotropisms
geotropism	geotropisms
heliotropism	heliotropisms
meteortropism	meteortropisms
neurotropism	neurotropisms
phototropism	phototropisms
trophotropism	trophotropisms
thermotropism	thermotropisms
chemotaxis	chemotaxes
kinesis	kineses
reflex	reflexes
wince	winces
flinch	flinches
miosis	mioses
myosis	myoses
mydriasis	mydriases
gooseflesh	goosefleshes
goosebump	goosebumps
horripilation	horripilations
startle	startles
tremble	trembles
shiver	shivers
crying	cryings
weeping	weepings
tears	tearss
sniveling	snivelings
sob	sobs
sobbing	sobbings
wailing	wailings
bawling	bawlings
calculation	calculations
computation	computations
computing	computings
recalculation	recalculations
differentiation	differentiations
integration	integrations
times	timess
minus	minuss
summation	summations
plus	pluss
exponentiation	exponentiations
construction	constructions
quadrature	quadratures
judgment	judgments
judgement	judgements
assessment	assessments
adjudication	adjudications
disapproval	disapprovals
evaluation	evaluations
rating	ratings
grading	gradings
scoring	scorings
estimate	estimates
estimation	estimations
appraisal	appraisals
moralism	moralisms
pleximetry	pleximetries
succussion	succussions
auscultation	auscultations
sensing	sensings
perception	perceptions
look	looks
looking	lookings
glance	glances
glimpse	glimpses
eye-beaming	eye-beamings
side-glance	side-glances
side-look	side-looks
peek	peeks
peep	peeps
squint	squints
stare	stares
gaze	gazes
regard	regards
glare	glares
glower	glowers
contemplation	contemplations
gape	gapes
inspection	inspections
resurvey	resurveys
sightseeing	sightseeings
rubber-necking	rubber-neckings
observation	observations
observance	observances
watching	watchings
monitoring	monitorings
sighting	sightings
landfall	landfalls
stargazing	stargazings
watch	watches
vigil	vigils
stakeout	stakeouts
lookout	lookouts
outlook	outlooks
view	views
sight	sights
eyeful	eyefuls
dekko	dekkoes
listening	listenings
hearing	hearings
relistening	relistenings
rehearing	rehearings
lipreading	lipreadings
taste	tastes
smell	smells
smelling	smellings
sniff	sniffs
snuff	snuffs
instruction	instructions
teaching	teachings
pedagogy	pedagogies
didactics	didacticss
coeducation	coeducations
class	classes
coursework	courseworks
dramatics	dramaticss
catechesis	catecheses
phonics	phonicss
schooling	schoolings
indoctrination	indoctrinations
brainwashing	brainwashings
inculcation	inculcations
ingraining	ingrainings
instilling	instillings
tuition	tuitions
tutorship	tutorships
elective	electives
orientation	orientations
propaedeutic	propaedeutics
propaedeutics	propaedeuticss
refresher	refreshers
seminar	seminars
shop	shops
workshop	workshops
sleep-learning	sleep-learnings
hypnopedia	hypnopedias
spoonfeeding	spoonfeedings
lecture	lectures
lecturing	lecturings
talk	talks
fartlek	fartleks
discipline	disciplines
training	trainings
drill	drills
recitation	recitations
manual	manuals
retraining	retrainings
square-bashing	square-bashings
rehearsal	rehearsals
run-through	run-throughs
brushup	brushups
shadowboxing	shadowboxings
representation	representations
model	models
modelling	modellings
modeling	modelings
dramatization	dramatizations
dramatisation	dramatisations
puppetry	puppetries
pageant	pageants
pageantry	pageantries
symbolizing	symbolizings
symbolising	symbolisings
diagramming	diagrammings
picturing	picturings
typification	typifications
depiction	depictions
delineation	delineations
portraiture	portraitures
imaging	imagings
tomography	tomographies
X-raying	X-rayings
X-radiation	X-radiations
CT	CTs
CAT	CATs
sonography	sonographies
ultrasonography	ultrasonographies
echography	echographies
ultrasound	ultrasounds
PET	PETs
MRI	MRIs
fMRI	fMRIs
fluoroscopy	fluoroscopies
radioscopy	radioscopies
radiology	radiologies
radiography	radiographies
roentgenography	roentgenographies
xerography	xerographies
xeroradiography	xeroradiographies
angiography	angiographies
lymphangiography	lymphangiographies
lymphography	lymphographies
arteriography	arteriographies
arthrography	arthrographies
venography	venographies
cholangiography	cholangiographies
encephalography	encephalographies
myelography	myelographies
pyelography	pyelographies
IVP	IVPs
telephotography	telephotographies
radiophotography	radiophotographies
filming	filmings
cinematography	cinematographies
take	takes
retake	retakes
re-creation	re-creations
spinning	spinnings
weaving	weavings
netting	nettings
knitting	knittings
crocheting	crochetings
tatting	tattings
mintage	mintages
molding	moldings
needlework	needleworks
needlecraft	needlecrafts
recording	recordings
transcription	transcriptions
mastering	masterings
building	buildings
crenelation	crenelations
crenellation	crenellations
erecting	erectings
erection	erections
house-raising	house-raisings
assembly	assemblies
dismantling	dismantlings
dismantlement	dismantlements
disassembly	disassemblies
shipbuilding	shipbuildings
overproduction	overproductions
overrun	overruns
underproduction	underproductions
output	outputs
yield	yields
brewing	brewings
autosexing	autosexings
cultivation	cultivations
aquaculture	aquacultures
beekeeping	beekeepings
apiculture	apicultures
agriculture	agricultures
husbandry	husbandries
arboriculture	arboricultures
culture	cultures
monoculture	monocultures
tillage	tillages
dairying	dairyings
gardening	gardenings
horticulture	horticultures
plowing	plowings
ploughing	ploughings
tilling	tillings
hydroponics	hydroponicss
aquiculture	aquicultures
planting	plantings
stratification	stratifications
ranching	ranchings
starter	starters
landscaping	landscapings
floriculture	floricultures
harvest	harvests
haying	hayings
rainmaking	rainmakings
mining	minings
excavation	excavations
quarrying	quarryings
boring	borings
drilling	drillings
sericulture	sericultures
industry	industries
manufacture	manufactures
industrialization	industrializations
industrialisation	industrialisations
devising	devisings
fashioning	fashionings
making	makings
mapmaking	mapmakings
cartography	cartographies
moviemaking	moviemakings
manufacturing	manufacturings
shaping	shapings
forging	forgings
metalworking	metalworkings
metalwork	metalworks
granulation	granulations
grooving	groovings
rifling	riflings
newspeak	newspeaks
prefabrication	prefabrications
confection	confections
concoction	concoctions
lamination	laminations
tanning	tannings
veneering	veneerings
prefixation	prefixations
suffixation	suffixations
design	designs
designing	designings
planning	plannings
zoning	zonings
programming	programmings
programing	programings
composition	compositions
penning	pennings
adoxography	adoxographies
fictionalization	fictionalizations
fictionalisation	fictionalisations
historiography	historiographies
novelization	novelizations
novelisation	novelisations
redaction	redactions
lexicography	lexicographies
actualization	actualizations
actualisation	actualisations
objectification	objectifications
depersonalization	depersonalizations
depersonalisation	depersonalisations
reification	reifications
externalization	externalizations
externalisation	externalisations
exteriorization	exteriorizations
exteriorisation	exteriorisations
hypostatization	hypostatizations
hypostatisation	hypostatisations
embodiment	embodiments
personification	personifications
incarnation	incarnations
art	arts
ceramics	ceramicss
decalcomania	decalcomanias
decantation	decantations
decoupage	decoupages
draftsmanship	draftsmanships
glyptography	glyptographies
gastronomy	gastronomies
origami	origamis
distemper	distempers
fresco	frescoes
impasto	impastoes
perfumery	perfumeries
printmaking	printmakings
sculpture	sculptures
carving	carvings
moulding	mouldings
topiary	topiaries
pyrography	pyrographies
watercolor	watercolors
water-color	water-colors
watercolour	watercolours
water-colour	water-colours
engraving	engravings
etching	etchings
aquatint	aquatints
serigraphy	serigraphies
lithography	lithographies
composing	composings
arrangement	arrangements
arranging	arrangings
orchestration	orchestrations
recapitulation	recapitulations
invention	inventions
neologism	neologisms
neology	neologies
coinage	coinages
devisal	devisals
contrivance	contrivances
conceptualization	conceptualizations
conceptualisation	conceptualisations
formulation	formulations
framing	framings
avenue	avenues
digging	diggings
petroglyph	petroglyphs
gouge	gouges
puncture	punctures
centesis	centeses
abdominocentesis	abdominocenteses
paracentesis	paracenteses
amniocentesis	amniocenteses
amnio	amnios
arthrocentesis	arthrocenteses
celiocentesis	celiocenteses
thoracocentesis	thoracocenteses
thoracentesis	thoracenteses
fetoscopy	fetoscopies
foetoscopy	foetoscopies
perforation	perforations
prick	pricks
pricking	prickings
venipuncture	venipunctures
foraging	foragings
forage	forages
frisk	frisks
frisking	friskings
manhunt	manhunts
quest	quests
ransacking	ransackings
rummage	rummages
utilization	utilizations
utilisation	utilisations
misuse	misuses
recycling	recyclings
technology	technologies
engineering	engineerings
railroading	railroadings
maglev	maglevs
overexploitation	overexploitations
overuse	overuses
overutilization	overutilizations
overutilisation	overutilisations
commercialization	commercializations
commercialisation	commercialisations
electrification	electrifications
unitization	unitizations
unitisation	unitisations
conflict	conflicts
blockade	blockades
encirclement	encirclements
EW	EWs
Armageddon	Armageddons
clash	clashes
skirmish	skirmishes
contretemps	contretemps
stand	stands
repulsion	repulsions
standoff	standoffs
biodefense	biodefenses
biodefence	biodefences
minelaying	minelayings
rebellion	rebellions
insurrection	insurrections
revolt	revolts
rising	risings
uprising	uprisings
revolution	revolutions
counterrevolution	counterrevolutions
insurgency	insurgencies
insurgence	insurgences
intifada	intifadas
intifadah	intifadahs
pacification	pacifications
counterinsurgency	counterinsurgencies
mutiny	mutinies
combat	combats
aggression	aggressions
hostility	hostilities
hostilities	hostilitiess
belligerency	belligerencies
violence	violences
plundering	plunderings
pillage	pillages
pillaging	pillagings
banditry	banditries
rapine	rapines
rustling	rustlings
looting	lootings
spoil	spoils
spoliation	spoliations
spoilation	spoilations
despoilation	despoilations
despoilment	despoilments
despoliation	despoliations
ravaging	ravagings
depredation	depredations
BW	BWs
bioattack	bioattacks
Crusade	Crusades
reinforcement	reinforcements
reenforcement	reenforcements
dogfight	dogfights
onslaught	onslaughts
onset	onsets
onrush	onrushes
warfare	warfares
storm	storms
countercharge	countercharges
blitz	blitzs
blitzkrieg	blitzkriegs
mousetrap	mousetraps
invasion	invasions
infiltration	infiltrations
maraud	marauds
countermove	countermoves
bombing	bombings
bombardment	bombardments
dive-bombing	dive-bombings
offensive	offensives
counteroffensive	counteroffensives
peacekeeping	peacekeepings
intelligence	intelligences
SIGINT	SIGINTs
ELINT	ELINTs
COMINT	COMINTs
TELINT	TELINTs
psyop	psyops
reconnaissance	reconnaissances
recce	recces
recco	reccoes
reccy	reccies
scouting	scoutings
reconnoitering	reconnoiterings
reconnoitring	reconnoitrings
shufti	shuftis
counterintelligence	counterintelligences
countersubversion	countersubversions
counter-sabotage	counter-sabotages
fire	fires
barrage	barrages
shelling	shellings
broadside	broadsides
fusillade	fusillades
salvo	salvoes
cover	covers
counterfire	counterfires
counterbombardment	counterbombardments
crossfire	crossfires
dating	datings
cannonade	cannonades
drumfire	drumfires
ECM	ECMs
ECCM	ECCMs
ESM	ESMs
IW	IWs
jihad	jihads
jehad	jehads
measurement	measurements
measuring	measurings
mensuration	mensurations
actinometry	actinometries
algometry	algometries
anemography	anemographies
anemometry	anemometries
anthropometry	anthropometries
audiometry	audiometries
bathymetry	bathymetries
calibration	calibrations
standardization	standardizations
standardisation	standardisations
tuning	tunings
alignment	alignments
collimation	collimations
temperament	temperaments
tune	tunes
tune-up	tune-ups
synchronising	synchronisings
camber	cambers
toe-in	toes-in
voicing	voicings
calorimetry	calorimetries
cephalometry	cephalometries
densitometry	densitometries
dosimetry	dosimetries
fetometry	fetometries
foetometry	foetometries
hydrometry	hydrometries
gravimetry	gravimetries
hypsometry	hypsometries
hypsography	hypsographies
micrometry	micrometries
pelvimetry	pelvimetries
photometry	photometries
cytophotometry	cytophotometries
quantification	quantifications
gradation	gradations
shading	shadings
divergence	divergences
divergency	divergencies
reading	readings
sounding	soundings
spirometry	spirometries
surveying	surveyings
scalage	scalages
electromyography	electromyographies
mammography	mammographies
thermography	thermographies
mammothermography	mammothermographies
Rorschach	Rorschaches
TAT	TATs
sub-test	sub-tests
randomization	randomizations
randomisation	randomisations
systematization	systematizations
systematisation	systematisations
rationalization	rationalizations
rationalisation	rationalisations
codification	codifications
formalization	formalizations
formalisation	formalisations
order	orders
ordering	orderings
sequence	sequences
alternation	alternations
layout	layouts
alphabetization	alphabetizations
alphabetisation	alphabetisations
listing	listings
itemization	itemizations
itemisation	itemisations
inventory	inventories
inventorying	inventoryings
stocktaking	stocktakings
stock-taking	stock-takings
stocktake	stocktakes
stock-take	stock-takes
phrasing	phrasings
categorization	categorizations
categorisation	categorisations
classification	classifications
compartmentalization	compartmentalizations
compartmentalisation	compartmentalisations
assortment	assortments
indexing	indexings
reclassification	reclassifications
taxonomy	taxonomies
typology	typologies
collection	collections
collecting	collectings
assembling	assemblings
aggregation	aggregations
agglomeration	agglomerations
compilation	compilations
compiling	compilings
gather	gathers
gathering	gatherings
centralization	centralizations
centralisation	centralisations
harvesting	harvestings
conchology	conchologies
numismatics	numismaticss
numismatology	numismatologies
philately	philatelies
aerophilately	aerophilatelies
sorting	sortings
territorialization	territorializations
territorialisation	territorialisations
triage	triages
supporting	supportings
shoring	shorings
dangling	danglings
hanging	hangings
continuance	continuances
continuation	continuations
prolongation	prolongations
protraction	protractions
perpetuation	perpetuations
lengthening	lengthenings
repetition	repetitions
repeating	repeatings
echolalia	echolalias
iteration	iterations
redundancy	redundancies
reduplication	reduplications
reiteration	reiterations
copying	copyings
duplication	duplications
gemination	geminations
replication	replications
replay	replays
hi-fi	hi-fis
headroom	headrooms
playback	playbacks
imitation	imitations
echo	echoes
emulation	emulations
perseverance	perseverances
persistence	persistences
perseveration	perseverations
abidance	abidances
pursuance	pursuances
prosecution	prosecutions
survival	survivals
hangover	hangovers
holdover	holdovers
discontinuance	discontinuances
discontinuation	discontinuations
disfranchisement	disfranchisements
disinheritance	disinheritances
phase-out	phases-out
mapping	mappings
SOP	SOPs
stiffening	stiffenings
objection	objections
recusation	recusations
rigmarole	rigmaroles
rigamarole	rigamaroles
routine	routines
rut	ruts
groove	grooves
ceremony	ceremonies
chanoyu	chanoyus
lustrum	lustra
rite	rites
agape	agapes
worship	worships
deification	deifications
exaltation	exaltations
apotheosis	apotheoses
wake	wakes
viewing	viewings
agrypnia	agrypnias
popery	poperies
papism	papisms
quotation	quotations
ritualism	ritualisms
Berith	Beriths
Berit	Berits
Brith	Briths
Bris	Briss
Briss	Brisses
nudism	nudisms
naturism	naturisms
systematism	systematisms
transvestism	transvestisms
transvestitism	transvestitisms
church	churches
devotional	devotionals
chapel	chapels
liturgy	liturgies
none	nones
vesper	vespers
placebo	placeboes
sacrament	sacraments
Seder	Seders
Eucharist	Eucharists
Liturgy	Liturgys
Offertory	Offertorys
Communion	Communions
intercommunion	intercommunions
betrothal	betrothals
matrimony	matrimonies
marriage	marriages
wedding	weddings
bridal	bridals
baptism	baptisms
affusion	affusions
aspersion	aspersions
christening	christenings
confirmation	confirmations
penance	penances
confession	confessions
shrift	shrifts
sanctification	sanctifications
beatification	beatifications
canonization	canonizations
canonisation	canonisations
consecration	consecrations
communalism	communalisms
Oblation	Oblations
oblation	oblations
offering	offerings
unction	unctions
inunction	inunctions
libation	libations
prayer	prayers
supplication	supplications
Mass	Masses
Requiem	Requiems
devotion	devotions
bhakti	bhaktis
novena	novenas
Stations	Stationss
blessing	blessings
benediction	benedictions
idolization	idolizations
idolisation	idolisations
adoration	adorations
latria	latrias
idolatry	idolatries
bardolatry	bardolatries
iconolatry	iconolatries
veneration	venerations
cultism	cultisms
idiolatry	idiolatries
autolatry	autolatries
self-worship	self-worships
bibliolatry	bibliolatries
Bible-worship	Bible-worships
verbolatry	verbolatries
grammatolatry	grammatolatries
word-worship	word-worships
symbolatry	symbolatries
symbololatry	symbololatries
symbol-worship	symbol-worships
anthropolatry	anthropolatries
gyneolatry	gyneolatries
gynaeolatry	gynaeolatries
woman-worship	woman-worships
lordolatry	lordolatries
thaumatolatry	thaumatolatries
miracle-worship	miracle-worships
topolatry	topolatries
place-worship	place-worships
arborolatry	arborolatries
tree-worship	tree-worships
astrolatry	astrolatries
cosmolatry	cosmolatries
diabolatry	diabolatries
demonolatry	demonolatries
devil-worship	devil-worships
pyrolatry	pyrolatries
fire-worship	fire-worships
hagiolatry	hagiolatries
hierolatry	hierolatries
heliolatry	heliolatries
sun-worship	sun-worships
zoolatry	zoolatries
animal-worship	animal-worships
ichthyolatry	ichthyolatries
fish-worship	fish-worships
monolatry	monolatries
ophiolatry	ophiolatries
serpent-worship	serpent-worships
moon-worship	moon-worships
selenolatry	selenolatries
energizing	energizings
activating	activatings
revival	revivals
resurgence	resurgences
revitalization	revitalizations
revitalisation	revitalisations
revivification	revivifications
Renaissance	Renaissances
Renascence	Renascences
resurrection	resurrections
resuscitation	resuscitations
vivification	vivifications
invigoration	invigorations
concealment	concealments
concealing	concealings
hiding	hidings
disguise	disguises
camouflage	camouflages
mask	masks
masking	maskings
cover-up	cover-ups
burying	buryings
burial	burials
reburying	reburyings
reburial	reburials
smokescreen	smokescreens
stealth	stealths
positioning	positionings
emplacement	emplacements
juxtaposition	juxtapositions
apposition	appositions
collocation	collocations
interposition	interpositions
repositioning	repositionings
superposition	superpositions
stay	stays
residence	residences
lodging	lodgings
tenancy	tenancies
inhabitancy	inhabitancies
inhabitation	inhabitations
habitation	habitations
cohabitation	cohabitations
concubinage	concubinages
camping	campings
encampment	encampments
bivouacking	bivouackings
tenting	tentings
sojourn	sojourns
visit	visits
visiting	visitings
stop	stops
stopover	stopovers
layover	layovers
night-stop	night-stops
provision	provisions
supply	supplies
supplying	supplyings
alimentation	alimentations
gavage	gavages
gastrogavage	gastrogavages
IV	IVs
